time:1742725921.47743; distance: 0.6274206590327759
time:1742725933.0974133; distance: 0.6274206590327759
time:1742725933.1175685; distance: 0.6274206590327759
time:1742725939.2573245; distance: 0.6274206590327759
time:1742725939.277372; distance: 0.6274206590327759
time:1742725939.2974675; distance: 0.6274206590327759
time:1742725939.317685; distance: 0.6274206590327759
time:1742725941.257361; distance: 0.6274206590327759
time:1742725941.277518; distance: 0.6274206590327759
time:1742725942.5973403; distance: 0.6274206590327759
time:1742725942.617472; distance: 0.6274206590327759
time:1742725947.7374496; distance: 0.6274206590327759
time:1742725947.761627; distance: 0.6274206590327759
time:1742725947.777406; distance: 0.6274206590327759
time:1742725948.8573353; distance: 0.6311163687720769
time:1742725948.8774965; distance: 0.6311163687720769
time:1742725949.0973902; distance: 0.6311163687720769
time:1742725949.1178606; distance: 0.6311163687720769
time:1742725949.757418; distance: 0.6311163687720769
time:1742725949.778502; distance: 0.6311163687720769
time:1742725951.0974467; distance: 0.6274206590327759
time:1742725951.11751; distance: 0.6274206590327759
time:1742725959.2573764; distance: 0.6274206590327759
time:1742725959.2773511; distance: 0.6274206590327759
time:1742725959.297358; distance: 0.6274206590327759
time:1742725966.4573505; distance: 0.6274206590327759
time:1742725966.4773617; distance: 0.6274206590327759
time:1742725966.4992132; distance: 0.6274206590327759
time:1742725966.517383; distance: 0.6274206590327759
time:1742725969.2573535; distance: 0.6274206590327759
time:1742725969.2773426; distance: 0.6274206590327759
time:1742725975.0973403; distance: 0.6567712335505949
time:1742725975.117409; distance: 0.6567712335505949
time:1742725977.5973558; distance: 0.5429352783192652
time:1742725977.6178663; distance: 0.5429352783192652
time:1742725979.2574925; distance: 0.5166903777530298
time:1742725979.2801807; distance: 0.5166903777530298
time:1742725979.2974255; distance: 0.5166903777530298
time:1742725979.3175306; distance: 0.5166903777530298
time:1742725984.237668; distance: 0.5614539051763553
time:1742725984.2588854; distance: 0.5614539051763553
time:1742725990.9576225; distance: 0.8041025746332925
time:1742725990.9774532; distance: 0.8041025746332925
time:1742725992.9575155; distance: 0.8157667335795181
time:1742725992.9774141; distance: 0.8157667335795181
time:1742725999.0974205; distance: 0.9742170065255752
time:1742725999.1190164; distance: 0.9742170065255752
time:1742726000.0973692; distance: 0.9964918175283368
time:1742726000.119367; distance: 0.9964918175283368
time:1742726001.2573743; distance: 0.9558462234114421
time:1742726001.277559; distance: 0.9558462234114421
time:1742726003.0975437; distance: 1.2036145718794726
time:1742726003.117548; distance: 1.2036145718794726
time:1742726005.2573707; distance: 1.3414681549749794
time:1742726005.2773728; distance: 1.3414681549749794
time:1742726016.0974019; distance: 1.46382876052503
time:1742726016.1175148; distance: 1.46382876052503
time:1742726022.857361; distance: 1.645187873875201
time:1742726022.8781416; distance: 1.645187873875201
time:1742726023.457344; distance: 1.6371878158415316
time:1742726023.4773667; distance: 1.6371878158415316
time:1742726027.5973814; distance: 1.8237217701050707
time:1742726027.6174214; distance: 1.8237217701050707
time:1742726030.597386; distance: 1.8642075698864566
time:1742726030.6198094; distance: 1.8642075698864566
time:1742726035.4573512; distance: 2.191522877923295
time:1742726035.4774523; distance: 2.191522877923295
time:1742726035.4976904; distance: 2.191522877923295
time:1742726035.5174448; distance: 2.191522877923295
time:1742726037.837417; distance: 2.1627878257238216
time:1742726037.8575504; distance: 2.1627878257238216
time:1742726039.9973605; distance: 2.2130066610236634
time:1742726040.0176132; distance: 2.2130066610236634
time:1742726040.037624; distance: 2.2130066610236634
time:1742726052.0973558; distance: 2.6277475917941318
time:1742726052.125181; distance: 2.6277475917941318
time:1742726053.4773726; distance: 2.676488848191967
time:1742726053.497414; distance: 2.676488848191967
time:1742726053.517427; distance: 2.676488848191967
time:1742726055.5974126; distance: 2.6748078326764166
time:1742726055.6174319; distance: 2.6748078326764166
time:1742726060.0975468; distance: 2.752526620043148
time:1742726060.1199408; distance: 2.752526620043148
time:1742726061.457369; distance: 2.7724327991704865
time:1742726061.4781184; distance: 2.7724327991704865
time:1742726062.6373918; distance: 2.9673026116326637
time:1742726062.6573746; distance: 2.9673026116326637
time:1742726063.09742; distance: 2.8824249500476395
time:1742726063.1175203; distance: 2.8824249500476395
time:1742726063.137452; distance: 2.8824249500476395
time:1742726063.5973392; distance: 2.8966172055314785
time:1742726063.6174195; distance: 2.8966172055314785
time:1742726066.0973544; distance: 2.9679747784899955
time:1742726066.1174808; distance: 2.9679747784899955
time:1742726073.0973663; distance: 3.174786174798923
time:1742726073.1174707; distance: 3.174786174798923
time:1742726073.1374145; distance: 3.174786174798923
time:1742726076.6978135; distance: 3.224631940368723
time:1742726076.7200212; distance: 3.224631940368723
time:1742726076.8373497; distance: 3.227025292119639
time:1742726076.857399; distance: 3.227025292119639
time:1742726076.8779242; distance: 3.227025292119639
time:1742726078.9574654; distance: 3.3372180713315043
time:1742726078.9773858; distance: 3.3372180713315043
time:1742726079.8373442; distance: 3.2917170254861605
time:1742726087.0973837; distance: 3.5089795112261
time:1742726087.118443; distance: 3.5089795112261
time:1742726087.737415; distance: 3.5167850177602573
time:1742726087.7575142; distance: 3.5167850177602573
time:1742726087.7780814; distance: 3.5167850177602573
time:1742726089.8580432; distance: 3.583642458901478
time:1742726089.8789818; distance: 3.583642458901478
time:1742726095.097401; distance: 3.768581693079629
time:1742726095.1177201; distance: 3.768581693079629
time:1742726100.0973773; distance: 3.916796020323329
time:1742726100.1178212; distance: 3.916796020323329
time:1742726100.1374538; distance: 3.916796020323329
time:1742726101.8374996; distance: 3.9944969714184917
time:1742726101.8573918; distance: 3.9944969714184917
time:1742726101.877807; distance: 3.9944969714184917
time:1742726103.2573957; distance: 4.096116162236167
time:1742726103.2774134; distance: 4.096116162236167
time:1742726103.2974133; distance: 4.096116162236167
time:1742726103.3173883; distance: 4.096116162236167
time:1742726104.097416; distance: 4.043438046820772
time:1742726104.1174448; distance: 4.043438046820772
time:1742726104.8374438; distance: 4.098455100205678
time:1742726113.4574492; distance: 4.324774755534319
time:1742726113.477663; distance: 4.324774755534319
time:1742726113.4973829; distance: 4.324774755534319
time:1742726113.5236723; distance: 4.324774755534319
time:1742726116.257379; distance: 4.327458672273139
time:1742726116.2774773; distance: 4.327458672273139
time:1742726119.0974474; distance: 4.2969640456757325
time:1742726119.1175725; distance: 4.2969640456757325
time:1742726119.5975127; distance: 4.31342786162366
time:1742726119.6177056; distance: 4.31342786162366
time:1742726123.4573276; distance: 4.372440546658003
time:1742726123.4774315; distance: 4.372440546658003
time:1742726123.4974163; distance: 4.372440546658003
time:1742726123.5188541; distance: 4.372440546658003
time:1742726135.8388767; distance: 4.467348184621826
time:1742726135.8574808; distance: 4.467348184621826
time:1742726136.0974455; distance: 4.514422141193035
time:1742726136.1173933; distance: 4.514422141193035
time:1742726136.137538; distance: 4.514422141193035
time:1742726138.0973701; distance: 4.591984048341482
time:1742726138.1173887; distance: 4.591984048341482
time:1742726138.1374574; distance: 4.591984048341482
time:1742726142.0973647; distance: 4.808221861062622
time:1742726142.118915; distance: 4.808221861062622
time:1742726142.3374562; distance: 4.802470766176958
time:1742726142.357442; distance: 4.802470766176958
time:1742726142.377362; distance: 4.802470766176958
time:1742726143.8574739; distance: 4.831536858659103
time:1742726143.8781338; distance: 4.831536858659103
time:1742726143.897471; distance: 4.831536858659103
time:1742726143.9175627; distance: 4.831536858659103
time:1742726161.0974364; distance: 5.196213310687062
time:1742726161.117382; distance: 5.196213310687062
time:1742726164.5973508; distance: 5.312789725378006
time:1742726164.617456; distance: 5.312789725378006
time:1742726166.4773443; distance: 5.31898720047767
time:1742726171.8375711; distance: 5.47527049475074
time:1742726171.8574166; distance: 5.47527049475074
time:1742726171.8776085; distance: 5.47527049475074
time:1742726172.7376049; distance: 5.544999476840143
time:1742726172.7630568; distance: 5.544999476840143
time:1742726172.7790804; distance: 5.544999476840143
time:1742726173.0975955; distance: 5.485541620916391
time:1742726173.1174378; distance: 5.485541620916391
time:1742726179.097379; distance: 5.646248959148995
time:1742726179.1200726; distance: 5.646248959148995
time:1742726179.1374264; distance: 5.646248959148995
time:1742726188.357343; distance: 6.203774996853364
time:1742726188.3774176; distance: 6.203774996853364
time:1742726188.59742; distance: 6.22913199262013
time:1742726188.6176252; distance: 6.22913199262013
time:1742726188.6373851; distance: 6.22913199262013
time:1742726190.2591898; distance: 6.361461237111052
time:1742726190.279636; distance: 6.361461237111052
time:1742726201.957341; distance: 6.551341835688907
time:1742726201.979697; distance: 6.551341835688907
time:1742726209.8374279; distance: 7.084584599371772
time:1742726209.8573904; distance: 7.084584599371772
time:1742726211.0973632; distance: 7.0652622164692644
time:1742726211.1178637; distance: 7.0652622164692644
time:1742726217.257712; distance: 7.067801198930753
time:1742726217.277416; distance: 7.067801198930753
time:1742726220.4574304; distance: 7.066056052849018
time:1742726220.4773936; distance: 7.066056052849018
time:1742726221.7374184; distance: 7.066055765254642
time:1742726224.8373666; distance: 7.065730596217125
time:1742726224.8574388; distance: 7.065730596217125
time:1742726227.6973913; distance: 7.065730440978383
time:1742726227.7174916; distance: 7.065730440978383
